node	type
schizophrenia	disease
hepatomegaly	disease
alzheimer's disease	disease
malignant tumor of colon	disease
colonic neoplasms	disease
presenile dementia	disease
mental depression	disease
depressive disorder	disease
hepatolenticular degeneration	disease
"kidney failure, acute"	disease
liver cirrhosis	disease
"liver cirrhosis, experimental"	disease
lung diseases	disease
lung neoplasms	disease
nephrotic syndrome	disease
hepatocellular adenoma	disease
"fibrosis, liver"	disease
malignant neoplasm of lung	disease
familial alzheimer disease (fad)	disease
"alzheimer disease, late onset"	disease
acute confusional senile dementia	disease
"alzheimer's disease, focal onset"	disease
"alzheimer disease, early onset"	disease
hepatic form of wilson disease	disease
acute kidney insufficiency	disease
liver carcinoma	disease
acute kidney injury	disease
alpha-2-macroglobulin deficiency	disease
"alcoholic intoxication, chronic"	disease
autosome abnormalities	disease
malignant neoplasm of urinary bladder	disease
bladder neoplasm	disease
malignant neoplasms	disease
chromosome aberrations	disease
drug toxicity	disease
neoplasms	disease
"dermatitis, occupational"	disease
prostatic neoplasms	disease
adverse reaction to drug	disease
industrial dermatosis	disease
benign neoplasm	disease
malignant neoplasm of prostate	disease
malignant neoplasm of breast	disease
coronary arteriosclerosis	disease
diastematomyelia	disease
drug allergy	disease
"hepatitis, toxic"	disease
childhood acute lymphoblastic leukemia	disease
"leukemia, lymphocytic, acute, l2"	disease
leukopenia	disease
liver neoplasms	disease
neural tube defects	disease
neurenteric cyst	disease
tethered cord syndrome	disease
iniencephaly	disease
craniorachischisis	disease
exencephaly	disease
spinal cord myelodysplasia	disease
malignant neoplasm of liver	disease
malignant mesothelioma	disease
breast carcinoma	disease
acrania	disease
drug-induced liver disease	disease
"mammary neoplasms, human"	disease
"hepatitis, drug-induced"	disease
mammary neoplasms	disease
coronary artery disease	disease
precursor cell lymphoblastic leukemia lymphoma	disease
drug-induced acute liver injury	disease
chemical and drug induced liver injury	disease
chemically-induced liver toxicity	disease
lipoidosis	disease
psychotic disorders	disease
nonorganic psychosis	disease
"depression, bipolar"	disease
delayed sleep phase syndrome	disease
nonorganic sleep wake cycle disorders	disease
advanced sleep phase syndrome	disease
non-24 hour sleep-wake disorder	disease
shift-work sleep disorder	disease
"sleep disorders, circadian rhythm"	disease
"ataxias, hereditary"	disease
charcot-marie-tooth disease	disease
epileptic encephalopathy	disease
"charcot-marie-tooth disease, axonal, type 2n"	disease
intellectual disability	disease
"epileptic encephalopathy, early infantile, 29"	disease
autistic disorder	disease
gastroesophageal reflux disease	disease
jacksonian seizure	disease
lethargy	disease
flaccid muscle tone	disease
muscle hypotonia	disease
psychomotor disorders	disease
"reflex, abnormal"	disease
seizures	disease
complex partial seizures	disease
"reflex, corneal, decreased"	disease
hyporeflexia	disease
hyperreflexia	disease
absent reflex	disease
generalized seizures	disease
"seizures, clonic"	disease
"reflex, gag, absent"	disease
"reflex, deep tendon, absent"	disease
visual seizure	disease
tonic seizures	disease
epileptic drop attack	disease
hoffman's reflex	disease
"reflex, pendular"	disease
"reflex, corneal, absent"	disease
gamma aminobutyric acid transaminase deficiency	disease
"seizures, somatosensory"	disease
"seizures, auditory"	disease
olfactory seizure	disease
gustatory seizure	disease
vertiginous seizure	disease
