node	type
depressive disorder	disease
drug-induced liver injury	disease
mercury poisoning	disease
necrosis	disease
neoplasms	disease
anemia, hemolytic	disease
attention deficit and disruptive behavior disorders	disease
autistic disorder	disease
cognition disorders	disease
cystitis	disease
heavy metal toxicity	disease
hemolysis	disease
hypertension	disease
lead poisoning	disease
learning disorders	disease
lung injury	disease
micronuclei, chromosome-defective	disease
pneumonia	disease
anxiety disorders	disease
ataxia	disease
autoimmune diseases	disease
brain diseases	disease
brain edema	disease
brain injuries	disease
cardiomyopathies	disease
craniofacial abnormalities	disease
death	disease
disease models, animal	disease
drug toxicity	disease
epilepsy	disease
epilepsy, absence	disease
fetal growth retardation	disease
hyperkinesis	disease
hypersensitivity, delayed	disease
kidney diseases	disease
lead poisoning, nervous system	disease
memory disorders	disease
movement disorders	disease
myoclonus	disease
nerve degeneration	disease
prenatal exposure delayed effects	disease
reflex, abnormal	disease
seizures	disease
splenomegaly	disease
status epilepticus	disease
weight loss	disease
carcinoma	disease
liver neoplasms, experimental	disease
melanoma	disease
prostatic neoplasms	disease
respiratory distress syndrome, adult	disease
urinary bladder neoplasms	disease
abnormalities, drug-induced	disease
abnormalities, multiple	disease
acne vulgaris	disease
activated protein c resistance	disease
acute kidney injury	disease
adenocarcinoma	disease
adenoma, liver cell	disease
adrenal insufficiency	disease
adrenocortical hyperfunction	disease
albuminuria	disease
alcoholism	disease
alopecia	disease
amenorrhea	disease
amnesia	disease
anemia	disease
anemia, iron-deficiency	disease
anemia, macrocytic	disease
aneuploidy	disease
angioedema	disease
anorexia	disease
arrhythmias, cardiac	disease
arterial occlusive diseases	disease
arteriosclerosis	disease
arthritis, experimental	disease
asthenozoospermia	disease
atherosclerosis	disease
atrial septal defect 2	disease
atrophy	disease
attention deficit disorder with hyperactivity	disease
biliary dyskinesia	disease
birth weight	disease
blood coagulation disorders	disease
body weight changes	disease
bone diseases	disease
bone diseases, developmental	disease
bone marrow diseases	disease
bone resorption	disease
brain ischemia	disease
breast diseases	disease
breast neoplasms	disease
bronchial hyperreactivity	disease
budd-chiari syndrome	disease
cadmium poisoning	disease
candidiasis, vulvovaginal	disease
carcinoma, endometrioid	disease
carcinoma, hepatocellular	disease
carcinoma in situ	disease
cardiomegaly	disease
cardiomyopathy, hypertrophic	disease
cardiovascular abnormalities	disease
cardiovascular diseases	disease
carotid artery thrombosis	disease
catalepsy	disease
cell transformation, neoplastic	disease
cerebral hemorrhage	disease
cerebral infarction	disease
child behavior disorders	disease
chloracne	disease
cholangiocarcinoma	disease
choledochal cyst	disease
cholestasis	disease
cholestasis, intrahepatic	disease
chromosome aberrations	disease
chronobiology disorders	disease
cleft lip	disease
cleft palate	disease
cocaine-related disorders	disease
colitis	disease
congenital abnormalities	disease
congenital, hereditary, and neonatal diseases and abnormalities	disease
coronary artery disease	disease
coronary occlusion	disease
coxsackievirus infections	disease
cystadenoma	disease
cysts	disease
diabetes mellitus, type 1	disease
diabetes mellitus, type 2	disease
diabetic nephropathies	disease
diarrhea	disease
disorders of sex development	disease
disseminated intravascular coagulation	disease
dizziness	disease
drug hypersensitivity	disease
dyslipidemias	disease
dysmenorrhea	disease
dysostoses	disease
dyspepsia	disease
dysuria	disease
ear neoplasms	disease
eating disorders	disease
ebstein anomaly	disease
ectrodactyly	disease
edema	disease
edema, cardiac	disease
embryo loss	disease
encephalomyelitis, autoimmune, experimental	disease
endometrial neoplasms	disease
endometriosis	disease
epstein-barr virus infections	disease
eye abnormalities	disease
eye diseases	disease
fatigue	disease
fatty liver	disease
feminization	disease
fetal death	disease
fetal diseases	disease
fibrosis	disease
folic acid deficiency	disease
gallbladder diseases	disease
gallbladder neoplasms	disease
gallstones	disease
genital diseases, female	disease
genital diseases, male	disease
glucose intolerance	disease
glucose metabolism disorders	disease
glycosuria	disease
gonadal disorders	disease
growth disorders	disease
gynecomastia	disease
hamartoma	disease
hashimoto&apos;s encephalitis	disease
headache	disease
hearing disorders	disease
heart defects, congenital	disease
heart diseases	disease
heart failure	disease
heart septal defects, ventricular	disease
hematuria	disease
hemorrhage	disease
hepatomegaly	disease
herpes genitalis	disease
hirsutism	disease
hot flashes	disease
hydronephrosis	disease
hyperalgesia	disease
hyperglycemia	disease
hyperlipidemias	disease
hyperplasia	disease
hyperprolactinemia	disease
hypertension, malignant	disease
hypertension, renovascular	disease
hyperthyroidism	disease
hypertriglyceridemia	disease
hypertrophy	disease
hypertrophy, left ventricular	disease
hypocalcemia	disease
hypokinesia	disease
hypospadias	disease
immune system diseases	disease
immunologic deficiency syndromes	disease
infant, newborn, diseases	disease
infertility	disease
infertility, female	disease
infertility, male	disease
inflammation	disease
insulin resistance	disease
intestinal diseases	disease
intestinal neoplasms	disease
intracranial embolism and thrombosis	disease
intracranial hemorrhages	disease
iron overload	disease
jaundice, obstructive	disease
jaw abnormalities	disease
keratitis, herpetic	disease
kidney neoplasms	disease
lactation disorders	disease
leiomyoma	disease
liver cirrhosis, experimental	disease
liver diseases	disease
liver neoplasms	disease
lung diseases	disease
lung neoplasms	disease
lupus erythematosus, systemic	disease
lymphatic diseases	disease
lymphoma	disease
lymphopenia	disease
mammary neoplasms, animal	disease
mammary neoplasms, experimental	disease
manganese poisoning	disease
medulloblastoma	disease
melanosis	disease
mesothelioma	disease
metaplasia	disease
metrorrhagia	disease
microcephaly	disease
mood disorders	disease
musculoskeletal abnormalities	disease
myocardial infarction	disease
myocardial ischemia	disease
myocardial reperfusion injury	disease
myocarditis	disease
nausea	disease
neoplasm invasiveness	disease
neoplasm metastasis	disease
neoplasms, experimental	disease
neovascularization, pathologic	disease
nephritis	disease
nervous system diseases	disease
nervous system malformations	disease
neural tube defects	disease
neuronal migration disorders	disease
neurotoxicity syndromes	disease
olfaction disorders	disease
oligospermia	disease
osteoporosis, postmenopausal	disease
ovarian cysts	disease
ovarian diseases	disease
ovarian neoplasms	disease
pain	disease
pancreatic neoplasms	disease
panic disorder	disease
paralysis	disease
parkinson disease	disease
peanut hypersensitivity	disease
peliosis hepatis	disease
pericardial effusion	disease
pigmentation disorders	disease
pituitary diseases	disease
pituitary neoplasms	disease
placenta diseases	disease
pneumococcal infections	disease
poisoning	disease
polycystic ovary syndrome	disease
polyuria	disease
porphyria cutanea tarda	disease
porphyrias, hepatic	disease
precancerous conditions	disease
pre-eclampsia	disease
premature birth	disease
prenatal injuries	disease
prolactinoma	disease
prostatic diseases	disease
prostatic hyperplasia	disease
prostatic intraepithelial neoplasia	disease
prostatitis	disease
proteinuria	disease
pruritus	disease
psychotic disorders	disease
puberty, delayed	disease
puberty, precocious	disease
pulmonary embolism	disease
pyelonephritis	disease
respiratory system abnormalities	disease
salivary gland diseases	disease
sarcoma	disease
scoliosis	disease
sexual and gender disorders	disease
sinus thrombosis, intracranial	disease
skin diseases	disease
skin neoplasms	disease
skin ulcer	disease
sleep initiation and maintenance disorders	disease
somatosensory disorders	disease
spermatocele	disease
streptococcal infections	disease
stroke	disease
substance-related disorders	disease
substance withdrawal syndrome	disease
tachycardia	disease
tachycardia, ventricular	disease
taste disorders	disease
testicular diseases	disease
tetany	disease
thromboangiitis obliterans	disease
thromboembolism	disease
thrombophilia	disease
thrombophlebitis	disease
thrombosis	disease
thyroid diseases	disease
tibial fractures	disease
torsades de pointes	disease
tricuspid atresia	disease
ureteral obstruction	disease
urethral stricture	disease
urinary bladder calculi	disease
urinary retention	disease
urination disorders	disease
urogenital abnormalities	disease
uterine cervical neoplasms	disease
uterine diseases	disease
uterine hemorrhage	disease
uterine neoplasms	disease
vaginal diseases	disease
vascular malformations	disease
vasospasm, intracranial	disease
venous thromboembolism	disease
venous thrombosis	disease
ventricular dysfunction	disease
ventricular dysfunction, left	disease
ventricular fibrillation	disease
vestibular diseases	disease
vision disorders	disease
vomiting	disease
wasting syndrome	disease
weight gain	disease
xanthomatosis	disease
abortion, spontaneous	disease
bone neoplasms	disease
brain infarction	disease
congenital diaphragmatic hernia	disease
eosinophilia	disease
exanthema	disease
fanconi syndrome	disease
fibromatosis, aggressive	disease
gastrointestinal neoplasms	disease
gastrointestinal stromal tumors	disease
glioma	disease
glomerulonephritis	disease
hearing loss, sensorineural	disease
hepatitis	disease
hepatitis, autoimmune	disease
hypophosphatemia	disease
leukemia, experimental	disease
leukemia, myelogenous, chronic, bcr-abl positive	disease
leukemia, myeloid	disease
lichenoid eruptions	disease
liver cirrhosis	disease
liver failure, acute	disease
muscle cramp	disease
muscular dystrophy, animal	disease
neoplasms, hormone-dependent	disease
neuroectodermal tumors, primitive, peripheral	disease
osteolysis	disease
osteopetrosis	disease
peripheral nervous system diseases	disease
precursor cell lymphoblastic leukemia-lymphoma	disease
purpura	disease
renal insufficiency	disease
small cell lung carcinoma	disease
stomach neoplasms	disease
thrombocythemia, essential	disease
thyroid neoplasms	disease
vasculitis	disease
aberrant crypt foci	disease
angina pectoris	disease
anoxia	disease
antisocial personality disorder	disease
aortic aneurysm	disease
burns	disease
cerebrovascular disorders	disease
child development disorders, pervasive	disease
colonic neoplasms	disease
coronary disease	disease
cryptorchidism	disease
depressive disorder, major	disease
diabetes mellitus, experimental	disease
diabetic angiopathies	disease
diabetic neuropathies	disease
dyskinesia, drug-induced	disease
dysthymic disorder	disease
dystocia	disease
epilepsies, myoclonic	disease
erectile dysfunction	disease
fetal nutrition disorders	disease
firesetting behavior	disease
glioblastoma	disease
glomerulosclerosis, focal segmental	disease
hiv wasting syndrome	disease
hyperandrogenism	disease
hypercholesterolemia	disease
hyperinsulinism	disease
hyperphagia	disease
hypoglycemia	disease
hypogonadism	disease
hypopituitarism	disease
hypotension	disease
impulse control disorders	disease
klinefelter syndrome	disease
leydig cell tumor	disease
lithiasis	disease
lymphoma, non-hodgkin	disease
malaria	disease
melanoma, experimental	disease
mental disorders	disease
metabolic syndrome x	disease
muscular atrophy	disease
nephritis, interstitial	disease
non-alcoholic fatty liver disease	disease
obesity	disease
plaque, atherosclerotic	disease
polycythemia	disease
reperfusion injury	disease
salivary gland neoplasms	disease
sebaceous gland neoplasms	disease
sexual dysfunction, physiological	disease
sexual dysfunctions, psychological	disease
shock, hemorrhagic	disease
shock, traumatic	disease
sleep apnea, obstructive	disease
splenic diseases	disease
stomach diseases	disease
varicocele	disease
vascular calcification	disease
virilism	disease
voice disorders	disease
abdomen, acute	disease
abdominal pain	disease
abruptio placentae	disease
accelerated idioventricular rhythm	disease
acid-base imbalance	disease
acidosis	disease
acute coronary syndrome	disease
agoraphobia	disease
agranulocytosis	disease
aids dementia complex	disease
akathisia, drug-induced	disease
alveolitis, extrinsic allergic	disease
anaphylaxis	disease
aneurysm	disease
aneurysm, dissecting	disease
aneurysm, ruptured	disease
angina, unstable	disease
anisocoria	disease
anterior spinal artery syndrome	disease
anterior wall myocardial infarction	disease
anti-glomerular basement membrane disease	disease
anuria	disease
aortic diseases	disease
aortic rupture	disease
aphasia	disease
apnea	disease
arthralgia	disease
arthritis	disease
asthma	disease
athetosis	disease
atresia of small intestine	disease
atrial fibrillation	disease
atrial flutter	disease
atrioventricular block	disease
auditory perceptual disorders	disease
autonomic nervous system diseases	disease
basal ganglia cerebrovascular disease	disease
basal ganglia diseases	disease
basal ganglia hemorrhage	disease
bipolar disorder	disease
blindness	disease
blood platelet disorders	disease
botulism	disease
bradycardia	disease
brain damage, chronic	disease
brain stem infarctions	disease
bronchial diseases	disease
bronchial spasm	disease
bronchiolitis obliterans	disease
brown-sequard syndrome	disease
bundle-branch block	disease
cardiac complexes, premature	disease
cardiomyopathy, dilated	disease
carotid artery, internal, dissection	disease
catatonia	disease
cellulitis	disease
central nervous system cysts	disease
central nervous system diseases	disease
cerebellar diseases	disease
chest pain	disease
chills	disease
chorea	disease
churg-strauss syndrome	disease
cluster headache	disease
colitis, ischemic	disease
colonic diseases	disease
color vision defects	disease
coma	disease
compartment syndromes	disease
confusion	disease
constriction, pathologic	disease
coronary aneurysm	disease
coronary stenosis	disease
coronary thrombosis	disease
coronary vasospasm	disease
cough	disease
cranial nerve diseases	disease
cryoglobulinemia	disease
death, sudden	disease
death, sudden, cardiac	disease
deglutition disorders	disease
delirium	disease
demyelinating diseases	disease
developmental disabilities	disease
diabetes insipidus	disease
disorders of excessive somnolence	disease
drug eruptions	disease
dyspnea	disease
dystonia	disease
emphysema	disease
encephalomalacia	disease
encephalomyelitis, acute disseminated	disease
endarteritis	disease
endocarditis	disease
endophthalmitis	disease
enteritis	disease
enterocolitis	disease
epilepsy, tonic-clonic	disease
epistaxis	disease
exophthalmos	disease
eye hemorrhage	disease
eyelid diseases	disease
facial injuries	disease
facial pain	disease
fetal distress	disease
